Ping_date, Ping_time, Ping_milliseconds, Latitude, Longitude, Position_status, Depth, Line_status, Ping_status, Altitude
6/18/2011, 09:53:37,725,999,999,4,68.603772,1,0,-9.90E+37
6/18/2011, 09:53:42,741,38.29770675,-74.00184911,3,68.60024,1,0,0
6/18/2011, 09:58:47,866,38.29429135,-73.99676838,1,68.785154,1,0,0
6/18/2011, 09:58:52,866,38.29423739,-73.99665641,1,68.778595,1,0,0
6/18/2011, 09:58:57,866,38.29417542,-73.99653328,1,68.379858,1,0,0
6/18/2011, 09:59:02,866,38.29410824,-73.99640817,1,68.379858,1,0,0
6/18/2011, 09:59:07,882,38.29403929,-73.99627183,1,68.379858,1,0,0
6/18/2011, 09:59:12,882,38.2939646,-73.9961242,1,68.380392,1,0,0
6/18/2011, 09:59:17,882,38.29389656,-73.99597473,1,68.380392,1,0,0
6/18/2011, 09:59:22,882,38.29382817,-73.9958172,1,68.377771,1,0,0
6/18/2011, 09:59:27,882,38.29375018,-73.99563597,1,68.377771,1,0,0
6/18/2011, 09:59:32,882,38.29367945,-73.99545068,1,68.447189,1,0,0
6/18/2011, 09:59:37,882,38.29359971,-73.99525821,1,68.286042,1,0,0
6/18/2011, 09:59:42,882,38.29350832,-73.99506447,1,68.286042,1,0,0
6/18/2011, 09:59:47,897,38.29342634,-73.99486039,1,68.286042,1,0,0
6/18/2011, 09:59:52,897,38.29335338,-73.99464475,1,68.262047,1,0,0
6/18/2011, 09:59:57,897,38.29327722,-73.99442425,1,68.263049,1,0,0
6/18/2011, 10:00:02,897,38.29318255,-73.99419686,1,68.263049,1,0,0
6/18/2011, 10:00:07,897,38.2930902,-73.99397133,1,68.263049,1,0,0
6/18/2011, 10:00:12,897,38.29300737,-73.99373308,1,68.263049,1,0,0
6/18/2011, 10:00:17,897,38.29291062,-73.99350178,1,68.265008,1,0,0
6/18/2011, 10:00:22,897,38.29280925,-73.99326439,1,68.210716,1,0,0
6/18/2011, 10:00:27,897,38.29271476,-73.99301378,1,68.210086,1,0,0
