Process_ID, Interval, Layer, Sv_mean, NASC, Sv_max, Sv_min, Sv_noise, NASC_noise, Height_mean, Depth_mean, Good_samples, Layer_depth_min, Layer_depth_max, Ping_S, Ping_E, Ping_M, Dist_S, Dist_E, Dist_M, VL_start, VL_end, VL_mid, Date_S, Time_S, Date_E, Time_E, Date_M, Time_M, Lat_S, Lon_S, Lat_E, Lon_E, Lat_M, Lon_M, Exclude_below_line_depth_mean, Alpha, Gain_constant, Noise_Sv_1m, Minimum_Sv_threshold_applied, Minimum_integration_threshold, Maximum_Sv_threshold_applied, Maximum_integration_threshold, Exclude_above_line_applied, Exclude_above_line_depth_mean, Exclude_below_line_applied, Bottom_offset, Standard_deviation, Skewness, Kurtosis, ABC, ABC_noise, Area_Backscatter_Strength, Thickness_mean, Range_mean, Exclude_below_line_range_mean, Exclude_above_line_range_mean, Bad_data_no_data_samples, Beam_volume_sum, No_data_samples, C_good_samples, C_bad_data_no_data_samples, C_no_data_samples, Frequency, Grid_reference_line, Layer_top_to_reference_line_depth, Layer_top_to_reference_line_range, Layer_bottom_to_reference_line_depth, Layer_bottom_to_reference_line_range, Exclude_below_line_depth_min, Exclude_below_line_range_min, Exclude_below_line_depth_max, Exclude_below_line_range_max, Samples_Below_Bottom_Exclusion, Samples_Above_Surface_Exclusion, Samples_In_Domain, Bad_data_empty_water_samples, C_bad_data_empty_water_samples
20216,1,1,-67.806486,210.700327,-56.947436,-77.738009,-968.875566,0,29.5,39.5,59,0,250,0,1,0,0,14.259994,0,0,12.3158,0,20110618, 09:53:37.7250,20110618, 09:53:42.7410,20110618, 09:53:37.7250,999,999,38.29770675,-74.00184911,999,999,68.602006,0.007856,-9999,-999,1,-90,0,99,1,10,1,0,3.51318E-07,3.675343,14.9201,4.88847E-06,0,-53.10826626,29.5,33.5,62.602006,4,59,693.089502,0,59,59,0,38," ""Surface (depth of zero)""",0,-6,250,244,68.60024,62.60024,68.603772,62.603772,362,8,488,0,0
20216,4,1,-67.978052,365.600054,-53.93325,-88.672745,-967.868389,0,53.25,39.046166,639,0,250,2,13,7,609.288889,783.868592,676.642473,600.477323,767.864544,664.488351,20110618, 09:58:47.8660,20110618, 09:59:42.8820,20110618, 09:59:12.8820,38.29429135,-73.99676838,38.29350832,-73.99506447,38.2939646,-73.9961242,68.436577,0.007856,-9999,-999,1,-90,0,99,1,10,1,0,3.67224E-07,6.287088,50.453991,8.48232E-06,0,-50.71485584,53.25,33.046166,62.436577,4,59,7299.069795,0,639,59,0,38," ""Surface (depth of zero)""",0,-6,250,244,68.286042,62.286042,68.785154,62.785154,2182,48,2928,0,0
20216,5,1,-67.650531,429.404616,-54.513897,-87.360996,-967.643172,0,58,39,522,0,250,14,22,18,804.872796,985.755684,891.733823,785.712933,962.554717,869.585907,20110618, 09:59:47.8970,20110618, 10:00:27.8970,20110618, 10:00:07.8970,38.29342634,-73.99486039,38.29271476,-73.99301378,38.2930902,-73.99397133,68.25401,0.007856,-9999,-999,1,-90,0,99,1,10,1,0,3.45837E-07,5.815767,45.173827,9.96265E-06,0,-50.01625125,58,33,62.25401,4,0,5945.382264,0,522,0,0,38," ""Surface (depth of zero)""",0,-6,250,244,68.210086,62.210086,68.286042,62.286042,1638,36,2196,0,0
20216,6,1,-66.658665,539.576913,-51.318612,-88.994632,-967.623341,0,58,39,464,0,250,23,30,26,1010.587961,1188.682597,1086.367787,986.46939,1159.613961,1060.347059,20110618, 10:00:32.8970,20110618, 10:01:07.9130,20110618, 10:00:47.9130,38.2926097,-73.99276442,38.29188061,-73.99097647,38.29229578,-73.99201647,68.229562,0.007856,-9999,-999,1,-90,0,99,1,10,1,0,5.51464E-07,7.528268,76.994835,1.25188E-05,0,-49.02438475,58,33,62.229562,4,0,5284.784234,0,464,0,0,38," ""Surface (depth of zero)""",0,-6,250,244,68.207898,62.207898,68.264939,62.264939,1456,32,1952,0,0
20216,7,1,-68.24425,374.537121,-52.079321,-89.534362,-967.851245,0,58,39,464,0,250,31,38,34,1214.231935,1396.536683,1291.876725,1185.240169,1364.590024,1261.633103,20110618, 10:01:12.9130,20110618, 10:01:47.9280,20110618, 10:01:27.9280,38.29178397,-73.99071209,38.29106404,-73.98884379,38.29147243,-73.98991928,68.105628,0.007856,-9999,-999,1,-90,0,99,1,10,1,0,4.15506E-07,8.452257,102.815095,8.68967E-06,0,-50.60996966,58,33,62.105628,4,0,5284.784234,0,464,0,0,38," ""Surface (depth of zero)""",0,-6,250,244,68.064424,62.064424,68.265131,62.265131,1456,32,1952,0,0
20216,8,1,-69.024227,312.966004,-56.919603,-89.805321,-968.029017,0,58,39,406,0,250,39,45,42,1422.925931,1580.341694,1501.775919,1391.1095,1547.52216,1468.728663,20110618, 10:01:52.9440,20110618, 10:02:22.9440,20110618, 10:02:07.9440,38.2909624,-73.9885726,38.29037799,-73.98694126,38.29066965,-73.98775528,68.147528,0.007856,-9999,-999,1,-90,0,99,1,10,1,0,2.79501E-07,4.287737,20.719986,7.26115E-06,0,-51.3899467,58,33,62.147528,4,0,4624.186205,0,406,0,0,38," ""Surface (depth of zero)""",0,-6,250,244,67.878039,61.878039,68.219492,62.219492,1274,28,1708,0,0
20216,9,1,-69.377257,288.532073,-55.804041,-88.146768,-968.018374,0,58,39,464,0,250,46,53,49,1606.340397,1791.114435,1685.764735,1573.685502,1753.535007,1650.56563,20110618, 10:02:27.9440,20110618, 10:03:02.9600,20110618, 10:02:42.9440,38.29028525,-73.98666901,38.28963725,-73.98472721,38.29000362,-73.98583585,67.744445,0.007856,-9999,-999,1,-90,0,99,1,10,1,0,2.47286E-07,5.198963,36.615801,6.69426E-06,0,-51.74297738,58,33,61.744445,4,0,5284.784234,0,464,0,0,38," ""Surface (depth of zero)""",0,-6,250,244,67.61085,61.61085,67.878039,61.878039,1456,32,1952,0,0
20216,10,1,-67.611536,433.277543,-53.45533,-89.454472,-967.740246,0,58,39,406,0,250,54,60,57,1816.943496,1977.124077,1897.827331,1780.048596,1935.849609,1857.644408,20110618, 10:03:07.9600,20110618, 10:03:37.9750,20110618, 10:03:22.9750,38.28954433,-73.9844567,38.28899959,-73.9827968,38.28926796,-73.983623,67.686745,0.007856,-9999,-999,1,-90,0,99,1,10,1,0,4.17108E-07,6.071017,49.110065,1.00525E-05,0,-49.97725655,58,33,61.686745,4,0,4624.186205,0,406,0,0,38," ""Surface (depth of zero)""",0,-6,250,244,67.61085,61.61085,67.779784,61.779784,1274,28,1708,0,0
20216,11,1,-68.2192,376.703655,-56.824691,-89.00437,-968.065809,0,58,39,464,0,250,61,68,64,2003.607958,2186.721031,2082.082846,1961.560326,2142.534047,2039.562687,20110618, 10:03:42.9750,20110618, 10:04:17.9910,20110618, 10:03:57.9910,38.28891143,-73.98251583,38.28829405,-73.98057723,38.28864405,-73.98168636,67.976017,0.007856,-9999,-999,1,-90,0,99,1,10,1,0,2.73613E-07,3.340999,13.784773,8.73993E-06,0,-50.58492,58,33,61.976017,4,0,5284.784234,0,464,0,0,38," ""Surface (depth of zero)""",0,-6,250,244,67.731627,61.731627,68.239825,62.239825,1456,32,1952,0,0
20216,12,1,-68.215759,381.064791,-53.845192,-88.707378,-968.133987,0,58.625,39.314499,469,0,250,69,76,72,2213.056537,2395.98468,2291.390584,2168.556078,2343.618676,2245.508109,20110618, 10:04:22.9910,20110618, 10:04:58.0070,20110618, 10:04:37.9910,38.28819939,-73.9803015,38.28756565,-73.9783774,38.28792262,-73.97948136,68.588457,0.007856,-9999,-999,1,-90,0,99,1,10,1,0,3.42945E-07,5.826419,48.343677,8.84111E-06,0,-50.53493011,58.625,33.314499,62.588457,4,0,5447.241599,0,469,0,0,38," ""Surface (depth of zero)""",0,-6,250,244,68.3664,62.3664,69.183351,63.183351,1451,32,1952,0,0
